,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
1396,200525,478632433,-13,1,75.605,27.6803,-69.6936,9.62856,0.128049,-1.19273,13,-1,43.0777,-19.8922,-1.71603,-38.1711,-1.40348,-3.05554,11,-1,201.582,62.603,38.267,-187.755,-1.6689,0.548661,-11,1,113.007,-60.7797,23.5971,-92.3015,-1.14706,2.77127,303.821498,129.244359,90.060629
1398,200525,547514345,-13,1,44.2054,41.9893,-2.69288,13.5557,0.316848,-0.064045,-13,1,146.913,25.1993,31.3955,141.29,1.96836,0.894447,13,-1,52.3327,-29.4656,-23.817,36.1003,0.84762,-2.46181,13,-1,89.5771,-31.573,-17.0103,82.0844,1.5658,-2.64742,190.20345,77.422669,76.051869
1405,200600,1075745095,13,-1,119.938,6.80524,50.5349,-108.558,-1.49987,1.43694,-13,1,35.7361,-21.5746,-19.2012,-21.0454,-0.676,-2.41433,13,-1,26.3752,-7.31603,-14.8158,-20.5574,-1.04391,-2.02947,-13,1,6.10569,-1.39111,-3.79578,-4.5744,-0.971391,-1.92208,103.664458,58.827298,6.170601
1412,200600,1248257881,-13,1,107.188,9.56114,88.8061,-59.2569,-0.622448,1.46355,-13,1,54.6958,-37.2799,35.5132,-18.4565,-0.3512,2.38046,13,-1,68.8824,-11.7525,-45.1115,-50.711,-0.942126,-1.82565,13,-1,56.6616,-31.4873,-6.08785,-46.7121,-1.17042,-2.95061,203.86344,130.360372,50.58404
1424,200600,82431995,13,-1,145.055,35.0384,79.0324,116.478,1.10698,1.15349,-13,1,22.5592,-6.68007,-21.2078,3.80993,0.170521,-1.87594,-11,1,126.02,99.9814,-20.9845,73.7869,0.670815,-0.206882,11,-1,43.3979,6.37124,-42.2648,-7.51501,-0.174928,-1.42118,246.190165,97.35222,94.863604
1429,200600,958440126,11,-1,33.4981,3.04271,31.6437,-10.5614,-0.326403,1.47494,-11,1,48.7977,29.4063,-7.12761,38.2842,1.0571,-0.237798,11,-1,17.6901,4.49231,-8.83848,14.6506,1.18232,-1.10056,-11,1,12.8601,3.80031,-6.57558,10.3779,1.11833,-1.04675,90.602388,45.018393,11.967788
1439,200991,362501557,-13,1,141.668,-33.1955,25.1465,-135.409,-1.89512,2.49329,13,-1,43.6943,20.786,-6.65649,-37.8525,-1.31808,-0.309919,-13,1,21.3489,5.17346,-13.7934,-15.4513,-0.915494,-1.21197,13,-1,8.54469,2.45033,-5.85667,-5.71803,-0.809369,-1.17454,92.23612,53.866056,11.576476
1442,200991,573405437,-13,1,162.448,50.6895,-99.7885,-117.738,-0.917628,-1.10079,13,-1,245.604,-62.7847,61.5001,229.341,1.68714,2.36653,-13,1,105.456,23.597,9.98954,102.296,2.0928,0.400463,13,-1,56.6893,-13.5538,7.32352,-54.5557,-1.97699,2.6462,547.07449,91.690809,81.323916
1443,200991,578693544,-13,1,103.956,75.8497,35.4521,61.6175,0.681864,0.437228,13,-1,186.179,-36.8712,-33.069,-179.47,-1.99913,-2.4105,-13,1,9.69515,-8.62574,2.86377,-3.37344,-0.363134,2.82104,13,-1,8.42006,-6.86312,3.31539,-3.57661,-0.453542,2.69158,280.744439,59.473075,39.557106
1447,200991,970724930,-11,1,178.115,52.6101,1.214,170.164,1.88983,0.023071,11,-1,57.561,38.2062,3.32027,42.9247,0.963256,0.086686,11,-1,87.456,-29.6576,-23.1188,78.9589,1.48738,-2.47946,-11,1,45.5871,-13.6278,31.0331,-30.4863,-0.808475,1.98458,255.196606,167.252129,75.559632
